"","Id","Description","baseMean","log2FoldChange","padj"
"11","NLANBGKA_00086","NADP-dependent glyceraldehyde-3-phosphate dehydrogenase",1185.58,0.533,0
"16","NLANBGKA_00146","Ribonuclease Y",114.91,0.53,0.003
"114","NLANBGKA_01488","Glutamate racemase",139.5,0.513,0.005
"138","NLANBGKA_01719","50S ribosomal protein L2",473.53,0.497,0
"130","NLANBGKA_01628","Serine protease Do-like HtrA",496.67,0.491,0
"108","NLANBGKA_01387","Secreted 45 kDa protein",686.96,0.473,0.003
"89","NLANBGKA_01102","30S ribosomal protein S2",285.17,0.454,0.006
"65","NLANBGKA_00838","Ribonuclease R",154.04,0.44,0.007
"73","NLANBGKA_00946","Neutral endopeptidase",515.92,0.436,0.001
"140","NLANBGKA_01726","50S ribosomal protein L14",241.91,0.432,0.009
"125","NLANBGKA_01584","Glyceraldehyde-3-phosphate dehydrogenase",11836.08,0.295,0.002
