"","Id","Description","baseMean","log2FoldChange","padj"
"96","NLANBGKA_01369","hypothetical protein",153.03,-0.828,0
"24","NLANBGKA_00447","hypothetical protein",89.92,-0.815,0.003
"20","NLANBGKA_00404","Ribosomal RNA small subunit methyltransferase D",120.38,-0.8,0
"3","NLANBGKA_00042","Primosomal protein N'",83.54,-0.796,0
"120","NLANBGKA_01672","hypothetical protein",2158.77,-0.795,0
"8","NLANBGKA_00116","Chromosome partition protein Smc",359.45,-0.785,0
"77","NLANBGKA_01094","Polyribonucleotide nucleotidyltransferase",362.32,-0.781,0
"44","NLANBGKA_00687","Arginine repressor",50.49,-0.78,0.009
"130","NLANBGKA_01839","N-acylneuraminate cytidylyltransferase",57.07,-0.779,0.002
"104","NLANBGKA_01506","RNA polymerase-associated protein RapA",488.25,-0.777,0
"100","NLANBGKA_01483","Segregation and condensation protein A",49.21,-0.767,0.003
"54","NLANBGKA_00762","hypothetical protein",177.15,-0.753,0.005
"94","NLANBGKA_01367","Glycosyltransferase Gtf1",326.71,-0.75,0
"39","NLANBGKA_00663","Proline--tRNA ligase",455.27,-0.749,0
"5","NLANBGKA_00076","CdaA regulatory protein CdaR",75.18,-0.738,0.004
"107","NLANBGKA_01576","Di-/tripeptide transporter",87.66,-0.735,0.001
"68","NLANBGKA_00887","Thymidylate synthase",136.47,-0.734,0.006
"17","NLANBGKA_00398","Sodium, potassium, lithium and rubidium/H(+) antiporter",395.37,-0.733,0
"98","NLANBGKA_01445","N-acetyl-lysine deacetylase",50.79,-0.733,0.005
"47","NLANBGKA_00740","Protease HtpX",204.1,-0.729,0
"101","NLANBGKA_01484","Tyrosine recombinase XerD-like protein",77.5,-0.725,0.002
"35","NLANBGKA_00629","FeS cluster assembly protein SufB",269.63,-0.716,0
"131","NLANBGKA_01840","hypothetical protein",149.89,-0.713,0
"56","NLANBGKA_00783","Peptidoglycan O-acetyltransferase",184.91,-0.707,0
"116","NLANBGKA_01645","Energy-coupling factor transporter ATP-binding protein EcfA1",55.22,-0.707,0.009
"108","NLANBGKA_01589","3'-5' exoribonuclease YhaM",120.59,-0.699,0
"27","NLANBGKA_00478","Alanine racemase",100.01,-0.698,0
"114","NLANBGKA_01643","hypothetical protein",222.99,-0.697,0.001
"21","NLANBGKA_00405","Thioredoxin reductase",238.94,-0.694,0
"31","NLANBGKA_00550","hypothetical protein",179.63,-0.684,0
"82","NLANBGKA_01169","Major cell-binding factor",189.96,-0.671,0.003
"9","NLANBGKA_00229","hypothetical protein",270.45,-0.668,0
"19","NLANBGKA_00403","Phosphopantetheine adenylyltransferase",185.29,-0.664,0
"42","NLANBGKA_00684","Spore germination lipase LipC",92.45,-0.664,0.002
"36","NLANBGKA_00630","Cysteine desulfurase SufS",295.83,-0.662,0
"40","NLANBGKA_00666","10 kDa chaperonin",338.89,-0.662,0.004
"50","NLANBGKA_00751","Glucokinase",1406.45,-0.649,0
"52","NLANBGKA_00756","Cell division protein DivIB",64.68,-0.646,0.005
"86","NLANBGKA_01180","Inner spore coat protein H",105.01,-0.646,0.004
"76","NLANBGKA_01092","Serine acetyltransferase",59.84,-0.641,0.009
"38","NLANBGKA_00662","Putative zinc metalloprotease",233.66,-0.636,0
"55","NLANBGKA_00764","Isoleucine--tRNA ligase",418.92,-0.629,0
"81","NLANBGKA_01151","Beta-barrel assembly-enhancing protease",85.22,-0.628,0.002
"7","NLANBGKA_00114","Spermidine/spermine N(1)-acetyltransferase",136.15,-0.623,0.002
"112","NLANBGKA_01615","Hypoxanthine-guanine phosphoribosyltransferase",71.68,-0.618,0.01
"57","NLANBGKA_00797","30S ribosomal protein S1",130.79,-0.616,0.003
"128","NLANBGKA_01819","hypothetical protein",103.92,-0.614,0.005
"25","NLANBGKA_00448","putative dual-specificity RNA methyltransferase RlmN",140.72,-0.613,0.006
"10","NLANBGKA_00275","Septation ring formation regulator EzrA",250.22,-0.61,0
"2","NLANBGKA_00029","DNA translocase FtsK",252.48,-0.603,0
"117","NLANBGKA_01654","Cyclic-di-AMP phosphodiesterase GdpP",125.73,-0.601,0.002
"16","NLANBGKA_00375","hypothetical protein",71.07,-0.599,0.008
"118","NLANBGKA_01656","Replicative DNA helicase",158.89,-0.597,0.001
"43","NLANBGKA_00686","DNA repair protein RecN",273.42,-0.59,0
"49","NLANBGKA_00749","Peroxide-responsive repressor PerR",324.76,-0.588,0
"102","NLANBGKA_01487","dITP/XTP pyrophosphatase",189.13,-0.587,0.007
"70","NLANBGKA_00921","Thiosulfate sulfurtransferase GlpE",311.46,-0.578,0.009
"41","NLANBGKA_00667","60 kDa chaperonin",21302.39,-0.577,0
"92","NLANBGKA_01291","DNA polymerase III PolC-type",259.48,-0.563,0.001
"129","NLANBGKA_01821","Galactose/methyl galactoside import ATP-binding protein MglA",110.9,-0.563,0.004
"113","NLANBGKA_01621","Transcription-repair-coupling factor",129.87,-0.558,0.007
"51","NLANBGKA_00752","GTP-binding protein TypA/BipA",344.52,-0.552,0
"99","NLANBGKA_01446","hypothetical protein",169.29,-0.535,0.003
"4","NLANBGKA_00075","Phosphoglucosamine mutase",261.18,-0.533,0.002
"30","NLANBGKA_00549","putative oxidoreductase/MSMEI_2347",210.23,-0.529,0.001
"127","NLANBGKA_01814","Asparagine--tRNA ligase",173.84,-0.524,0.003
"13","NLANBGKA_00371","putative ATP-dependent Clp protease ATP-binding subunit",5814.39,-0.519,0
"111","NLANBGKA_01614","ATP-dependent zinc metalloprotease FtsH",819.05,-0.516,0
"95","NLANBGKA_01368","hypothetical protein",148.93,-0.514,0.001
"78","NLANBGKA_01098","Negative regulator of genetic competence ClpC/MecB",751.03,-0.513,0.001
"6","NLANBGKA_00113","Phenylalanine--tRNA ligase beta subunit",466.43,-0.507,0
"123","NLANBGKA_01752","PTS system mannose-specific EIIC component",848.13,-0.507,0
"33","NLANBGKA_00610","Bifunctional (p)ppGpp synthase/hydrolase RelA",394.05,-0.502,0
"88","NLANBGKA_01183","hypothetical protein",172.15,-0.5,0.006
"122","NLANBGKA_01713","O-acetyltransferase OatA",173.75,-0.49,0.01
"26","NLANBGKA_00465","hypothetical protein",315.78,-0.482,0
"37","NLANBGKA_00632","FeS cluster assembly protein SufB",331.61,-0.482,0.001
"53","NLANBGKA_00758","Cell division protein FtsZ",661.9,-0.482,0.009
"93","NLANBGKA_01340","Glutamine transport system permease protein GlnP",145.08,-0.478,0.009
"137","NLANBGKA_01870","Glycogen phosphorylase",1188.92,-0.468,0.002
"67","NLANBGKA_00833","Catabolite control protein A",367.58,-0.46,0
"11","NLANBGKA_00276","DNA gyrase subunit B",618.86,-0.459,0
"69","NLANBGKA_00912","putative pyridine nucleotide-disulfide oxidoreductase RclA",3073.32,-0.453,0.003
"80","NLANBGKA_01139","Beta-Ala-Xaa dipeptidase",303.95,-0.449,0.004
"106","NLANBGKA_01559","Putative cysteine protease YraA",329.71,-0.445,0.008
"12","NLANBGKA_00352","putative cation-transporting ATPase E",1027.53,-0.426,0.006
"103","NLANBGKA_01494","Inner membrane protein YbhL",333.02,-0.396,0.009
"29","NLANBGKA_00524","Ribonuclease J 1",507.96,-0.394,0.002
"1","NLANBGKA_00014","Beta-galactosidase",1475.73,-0.351,0.001
"48","NLANBGKA_00748","DNA protection during starvation protein",980.61,-0.337,0.007
