,Description,Length
OG233,putative ABC transporter ATP-binding protein YheS,516
OG234,"Oligo-1,6-glucosidase",587
OG235,IS1595 family transposase ISCac2,188
OG236,putative inner membrane transporter YicL,295
OG237,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,359
OG238,Glycogen synthase,482
OG239,hypothetical protein,319
OG240,hypothetical protein,344
OG241,hypothetical protein,136
OG242,Bifunctional transcriptional activator/DNA repair enzyme AdaA,186
OG243,hypothetical protein,800
OG244,hypothetical protein,335
OG245,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE AND putative methyltransferase YcgJ,237
OG246,hypothetical protein,167
OG247,hypothetical protein,438
OG248,IS21 family transposase IS712,252
OG249,N-acetyl-gamma-glutamyl-phosphate reductase,340
OG250,hypothetical protein,210
OG251,L-amino acid N-acetyltransferase AaaT,180
OG252,hypothetical protein,162
OG253,Replication protein RepB,202
OG254,Tagatose-6-phosphate kinase,305
OG255,putative hydrolase YxeP,379
OG256,hypothetical protein,277
OG257,Alpha-acetolactate decarboxylase,221
OG258,Putative hydrolase MhqD,206
OG259,hypothetical protein,296
OG260,hypothetical protein,121
OG261,Aerobic glycerol-3-phosphate dehydrogenase AND Glycerol-3-phosphate dehydrogenase 2,525
OG262,hypothetical protein,490
OG263,hypothetical protein,111
OG264,IS256 family transposase IS905,391
OG265,hypothetical protein,1078
OG266,Tryptophan-rich protein TspO,164
OG267,hypothetical protein,243
OG268,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC AND Glycine oxidase,377
OG269,Acetylornithine aminotransferase AND [LysW]-aminoadipate semialdehyde transaminase,377
OG270,Multidrug resistance protein 3 AND Putative multidrug resistance protein MdtD,486
OG271,putative ABC transporter ATP-binding protein,632
OG272,Putative ring-cleaving dioxygenase MhqA,389
OG273,Glycerophosphodiester phosphodiesterase,284
OG274,hypothetical protein,456
OG275,hypothetical protein,324
OG276,hypothetical protein,39
OG277,hypothetical protein,151
OG278,Acetylxylan esterase,268
OG279,hypothetical protein,186
OG280,ADP-dependent (S)-NAD(P)H-hydrate dehydratase,276
OG281,Phenolic acid decarboxylase PadC,182
OG282,Phospholipase YtpA AND Monoacylglycerol lipase,284
OG283,Imidazole glycerol phosphate synthase subunit HisH,202
OG284,Potassium channel,218
OG285,hypothetical protein,154
OG286,hypothetical protein,261
OG287,hypothetical protein,248
OG288,hypothetical protein,218
OG289,hypothetical protein,52
OG290,hypothetical protein,119
OG291,hypothetical protein,90
OG292,hypothetical protein,114
OG293,hypothetical protein,185
OG294,HTH-type transcriptional regulator GlvR,247
OG295,hypothetical protein,29
OG296,hypothetical protein,53
OG297,hypothetical protein,44
OG298,Bacitracin export permease protein BceB,669
OG299,hypothetical protein,601
OG300,hypothetical protein,114
OG301,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,164
OG302,Vitamin B12 import ATP-binding protein BtuD AND putative ABC transporter ATP-binding protein YadG AND Sulfate/thiosulfate import ATP-binding protein CysA,277
OG303,hypothetical protein,188
OG304,NADH oxidase,443
OG305,Histidinol dehydrogenase,435
OG306,Putative phosphatase,271
OG307,hypothetical protein,206
OG308,Glyoxal reductase,272
OG309,Acylphosphatase,97
OG310,Regulatory protein Spx,130
OG311,Farnesyl diphosphate synthase,306
OG312,hypothetical protein,529
OG313,Autolysin,361
OG314,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX AND Lysine--tRNA ligase,921
OG315,hypothetical protein,139
OG316,Multidrug export protein EmrB AND Putative multidrug resistance protein MdtD,501
OG317,hypothetical protein,209
OG318,hypothetical protein,236
OG319,hypothetical protein,210
OG320,Ribose import permease protein RbsC,315
OG321,hypothetical protein,83
OG322,hypothetical protein,91
OG323,GTP-sensing transcriptional pleiotropic repressor CodY,202
OG324,hypothetical protein,272
OG325,GTP cyclohydrolase 1 type 2,257
OG326,hypothetical protein,193
OG327,hypothetical protein,453
OG328,hypothetical protein,192
OG329,hypothetical protein,162
OG330,hypothetical protein,192
OG331,hypothetical protein,124
OG332,Nicotinamide riboside transporter PnuC,243
OG333,Integration host factor subunit alpha AND Integration host factor subunit beta,120
OG334,Coenzyme A disulfide reductase,547
OG335,Arginine biosynthesis bifunctional protein ArgJ,396
OG336,hypothetical protein,149
OG337,hypothetical protein,233
OG338,Phosphoglycolate phosphatase AND Phosphorylated carbohydrates phosphatase,234
OG339,putative MFS-type transporter EfpA,442
OG340,DNA primase,637
OG341,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,324
OG342,hypothetical protein,380
OG343,Putative hemin import ATP-binding protein HrtA,226
OG344,CdaA regulatory protein CdaR,319
OG345,HTH-type transcriptional regulator TreR,238
OG346,hypothetical protein,189
OG347,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase AND Phosphoribosyl isomerase A,246
OG348,putative protein YpbG,285
OG349,PTS system mannitol-specific EIICB component,607
OG350,Long-chain-fatty-acid--CoA ligase AND 2-succinylbenzoate--CoA ligase,507
OG351,hypothetical protein,233
OG352,"Ornithine carbamoyltransferase, catabolic",333
OG353,ComG operon protein 1,326
OG354,Imidazole glycerol phosphate synthase subunit HisF,259
OG355,ATP synthase subunit delta,175
OG356,2-isopropylmalate synthase,513
OG357,3-isopropylmalate dehydrogenase,346
OG358,hypothetical protein,302
OG359,hypothetical protein,86
OG360,hypothetical protein,139
OG361,Purine nucleoside phosphorylase DeoD-type AND Uridine phosphorylase,238
OG362,HTH-type transcriptional regulator CysL,272
OG363,hypothetical protein,193
OG364,D-methionine-binding lipoprotein MetQ,286
OG365,hypothetical protein,205
OG366,hypothetical protein,132
OG367,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",302
OG368,hypothetical protein,65
OG369,hypothetical protein,86
OG370,hypothetical protein,93
OG371,23S rRNA (guanine(745)-N(1))-methyltransferase,273
OG372,hypothetical protein,85
OG373,hypothetical protein,434
OG374,"Protein LacX, plasmid",289
OG375,hypothetical protein,186
OG376,Potassium channel,183
OG377,Copper homeostasis protein CutC,208
OG378,hypothetical protein,339
OG379,Protein-L-isoaspartate O-methyltransferase,230
OG380,Cystathionine beta-lyase PatB,409
OG381,Protein hit,133
OG382,hypothetical protein,73
OG383,HTH-type transcriptional regulator CynR,295
OG384,Acetyl-CoA acetyltransferase,379
OG385,hypothetical protein,361
OG386,3-hydroxy-3-methylglutaryl-coenzyme A reductase,410
OG387,"5,10-methylenetetrahydrofolate reductase",285
OG388,Aminopyrimidine aminohydrolase,222
OG389,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,757
OG390,Phosphinothricin N-acetyltransferase,194
OG391,Transcriptional regulator MntR,217
OG392,Protein DltD,428
OG393,hypothetical protein,282
OG394,Acetate kinase,395
OG395,hypothetical protein,312
OG396,hypothetical protein,83
OG397,D-alanine--D-alanyl carrier protein ligase,499
OG398,Thiamine-phosphate synthase,218
OG399,Galactose-1-phosphate uridylyltransferase,493
OG400,Adenine DNA glycosylase,393
OG401,DNA ligase,686
OG402,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,267
OG403,Cell division protein FtsX,311
OG404,putative oxidoreductase/MSMEI_2347 AND putative oxidoreductase YtbE AND Glyoxal reductase,281
OG405,Ribonuclease R,667
OG406,putative sugar epimerase YhfK,211
OG407,hypothetical protein,173
OG408,hypothetical protein,195
OG409,putative ABC transporter permease,356
OG410,2-iminobutanoate/2-iminopropanoate deaminase,126
OG411,Penicillin-binding protein 2x,765
OG412,hypothetical protein,230
OG413,hypothetical protein,114
OG414,Isopentenyl-diphosphate delta-isomerase,349
OG415,Phosphomevalonate kinase,329
OG416,hypothetical protein,318
OG417,ADP-ribose pyrophosphatase,194
OG418,Ribonuclease HII,261
OG419,Pyrroline-5-carboxylate reductase,263
OG420,Serine/threonine-protein kinase StkP,631
OG421,hypothetical protein,63
OG422,Ribosomal RNA small subunit methyltransferase I,291
OG423,HTH-type transcriptional regulator AdhR AND putative HTH-type transcriptional regulator,125
OG424,hypothetical protein,260
OG425,Ribosomal RNA small subunit methyltransferase B,436
OG426,4-hydroxy-tetrahydrodipicolinate synthase,297
OG427,NADH pyrophosphatase AND RNA pyrophosphohydrolase,151
OG428,hypothetical protein,62
OG429,hypothetical protein,186
OG430,Methionyl-tRNA formyltransferase,323
OG431,hypothetical protein,173
OG432,Putative hemin import ATP-binding protein HrtA,223
OG433,Primosomal protein N',781
OG434,Phenylalanine--tRNA ligase beta subunit,208
OG435,Coenzyme A biosynthesis bifunctional protein CoaBC,231
OG436,hypothetical protein,94
OG437,Bifunctional ligase/repressor BirA,250
OG438,Monofunctional biosynthetic peptidoglycan transglycosylase,812
OG439,hypothetical protein,122
OG440,hypothetical protein,156
OG441,Ribonuclease HIII,292
OG442,HTH-type transcriptional repressor RspR,241
OG443,hypothetical protein,199
OG444,hypothetical protein,371
OG445,hypothetical protein,119
OG446,hypothetical protein,231
OG447,Lactate utilization protein C,227
OG448,Diacylglycerol kinase,304
OG449,Signal peptidase I U AND Signal peptidase IB AND Signal peptidase I S AND Signal peptidase I T,208
OG450,DNA replication and repair protein RecF,359
OG451,hypothetical protein,174
OG452,Cytidylate kinase,220
OG453,LOG family protein YvdD,184
OG454,Histidinol-phosphatase,269
OG455,Histidine biosynthesis bifunctional protein HisIE,216
OG456,L-2-hydroxyisocaproate dehydrogenase,304
OG457,Transcriptional regulator LytR,469
OG458,hypothetical protein,189
OG459,hypothetical protein,423
OG460,hypothetical protein,209
OG461,hypothetical protein,298
OG462,Pyridoxine kinase,276
OG463,tRNA pseudouridine synthase A,253
OG464,hypothetical protein,120
OG465,L-amino acid N-acetyltransferase AaaT,172
OG466,ATP-dependent RecD-like DNA helicase,834
OG467,Cell division protein DivIB,392
OG468,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,357
OG469,Beta-phosphoglucomutase,221
OG470,hypothetical protein,107
OG471,hypothetical protein,183
OG472,UDP-N-acetylmuramoylalanine--D-glutamate ligase,450
OG473,hypothetical protein,130
OG474,Aminoglycoside 3'-phosphotransferase,264
OG475,hypothetical protein,176
OG476,NADH dehydrogenase,509
OG477,"Cadmium, cobalt and zinc/H(+)-K(+) antiporter",305
OG478,Penicillin-binding protein 2B,728
OG479,Prephenate dehydratase,279
OG480,Xaa-Pro dipeptidyl-peptidase,763
OG481,hypothetical protein,265
OG482,hypothetical protein,549
OG483,hypothetical protein,553
OG484,Shikimate kinase,162
OG485,hypothetical protein,191
OG486,ATP-dependent RNA helicase CshA,551
OG487,Formamidopyrimidine-DNA glycosylase,272
OG488,Ferrochelatase,318
OG489,hypothetical protein,259
OG490,hypothetical protein,742
OG491,Ribosome maturation factor RimM,171
OG492,D-aminopeptidase,332
OG493,hypothetical protein,169
OG494,hypothetical protein,354
OG495,4-hydroxy-tetrahydrodipicolinate reductase,260
OG496,Autolysin AND Muramidase-2,441
OG497,Imidazoleglycerol-phosphate dehydratase,203
OG498,hypothetical protein,180
OG499,CCA-adding enzyme,415
OG500,hypothetical protein,181
OG501,Hydroxycarboxylate dehydrogenase A,361
OG502,hypothetical protein,94
OG503,hypothetical protein,182
OG504,Nicotinamidase/pyrazinamidase,170
OG505,hypothetical protein,126
OG506,hypothetical protein,108
OG507,hypothetical protein,101
OG508,hypothetical protein,221
OG509,hypothetical protein,137
OG510,putative protein,425
OG511,Regulatory protein RecX,270
OG512,Ribosomal RNA large subunit methyltransferase I,389
OG513,Acetyltransferase,150
OG514,hypothetical protein,199
OG515,hypothetical protein,119
OG516,hypothetical protein,173
OG517,hypothetical protein,47
OG518,hypothetical protein,211
OG519,hypothetical protein,172
OG520,hypothetical protein,222
OG521,tRNA dimethylallyltransferase,294
OG522,hypothetical protein,213
OG523,hypothetical protein,192
OG524,putative RNA pseudouridine synthase,293
OG525,hypothetical protein,277
OG526,hypothetical protein,270
OG527,hypothetical protein,90
OG528,hypothetical protein,149
OG529,hypothetical protein,368
OG530,FAD:protein FMN transferase,325
OG531,Nicotinate-nucleotide adenylyltransferase,197
OG532,putative protein YqeN,334
OG533,hypothetical protein,339
OG534,Dihydrofolate reductase,168
OG535,IMPACT family member YigZ,211
OG536,Putative sporulation transcription regulator WhiA,306
OG537,GTP cyclohydrolase 1,349
OG538,hypothetical protein,357
OG539,Undecaprenol kinase,151
OG540,Ferredoxin--NADP reductase 2,321
OG541,NADH pyrophosphatase,164
OG542,hypothetical protein,186
OG543,putative DHNTP pyrophosphohydrolase,166
OG544,hypothetical protein,67
OG545,Folylpolyglutamate synthase,427
OG546,3-dehydroquinate dehydratase,229
OG547,Homoserine dehydrogenase,428
OG548,Homoserine kinase,296
OG549,hypothetical protein,135
OG550,Niacin transporter NiaX,199
OG551,hypothetical protein,204
OG552,hypothetical protein,104
OG553,N-acetyldiaminopimelate deacetylase,387
OG554,Cysteine desulfurase SufS,406
OG555,tRNA (adenine(22)-N(1))-methyltransferase,230
OG556,Endonuclease III,218
OG557,putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase,443
OG558,DNA replication protein DnaD,222
OG559,"6,7-dimethyl-8-ribityllumazine synthase",154
OG560,Riboflavin biosynthesis protein RibBA,398
OG561,Putative lipid kinase YtlR,302
OG562,Stage 0 sporulation protein J,261
OG563,Phosphoglycolate phosphatase,226
OG564,Putative oxidoreductase YceM,305
OG565,hypothetical protein,149
OG566,hypothetical protein,155
OG567,hypothetical protein,148
OG568,Dihydroanticapsin 7-dehydrogenase,243
OG569,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase,483
OG570,Queuosine precursor transporter QueT,169
OG571,General stress protein 13,144
OG572,Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase,268
OG573,Glycerol-3-phosphate acyltransferase,213
OG574,hypothetical protein,163
OG575,Nuclease SbcCD subunit D,390
OG576,2-dehydropantoate 2-reductase,312
OG577,Ribosomal RNA small subunit methyltransferase E,250
OG578,hypothetical protein,147
OG579,hypothetical protein,152
OG580,hypothetical protein,318
OG581,DNA-3-methyladenine glycosylase 1,190
OG582,hypothetical protein,258
OG583,hypothetical protein,209
OG584,Thiamine pyrophosphokinase,211
OG585,hypothetical protein,283
OG586,hypothetical protein,115
OG587,D-ribitol-5-phosphate phosphatase,226
OG588,hypothetical protein,172
OG589,hypothetical protein,162
OG590,N5-carboxyaminoimidazole ribonucleotide synthase,373
OG591,N5-carboxyaminoimidazole ribonucleotide mutase,161
OG592,hypothetical protein,135
OG593,Phosphoribosylamine--glycine ligase,413
OG594,Protein SprT-like protein,147
OG595,Bifunctional purine biosynthesis protein PurH,518
OG596,hypothetical protein,188
OG597,DegV domain-containing protein,289
OG598,Glutathione amide reductase,435
OG599,"Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",262
OG600,Multidrug export protein EmrB,458
OG601,Phosphoribosylglycinamide formyltransferase,182
OG602,Pyridoxal phosphate homeostasis protein,225
OG603,hypothetical protein,91
OG604,Amidophosphoribosyltransferase,509
OG605,hypothetical protein,263
OG606,Phosphoribosylformylglycinamidine synthase subunit PurS,88
OG607,Phosphoribosylaminoimidazole-succinocarboxamide synthase,236
OG608,hypothetical protein,97
OG609,hypothetical protein,173
OG610,Cell cycle protein GpsB,313
OG611,hypothetical protein,383
OG612,hypothetical protein,261
OG613,hypothetical protein,60
OG614,Glycerol kinase,505
OG615,Low molecular weight protein-tyrosine-phosphatase YfkJ,145
OG616,Cysteine desulfurase IscS,324
OG617,hypothetical protein,162
OG618,"UDP-2,3-diacylglucosamine pyrophosphatase LpxG",261
OG619,Putative universal stress protein,143
OG620,Mini-ribonuclease 3,144
OG621,Chromosome partition protein Smc,1174
OG622,Protein hit,122
OG623,hypothetical protein,195
OG624,hypothetical protein,252
OG625,putative multidrug resistance ABC transporter ATP-binding/permease protein YheH,608
OG626,Putative HAD-hydrolase YfnB,234
OG627,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,541
OG628,hypothetical protein,372
OG629,Sugar phosphatase YidA,269
OG630,hypothetical protein,186
OG631,DNA repair protein RecN,555
OG632,Segregation and condensation protein A,242
OG633,Tyrosine recombinase XerD-like protein,248
OG634,Asparagine--oxo-acid transaminase,393
OG635,Signal recognition particle receptor FtsY,465
OG636,dITP/XTP pyrophosphatase,201
OG637,Glutamate racemase,271
OG638,DNA polymerase III PolC-type,791
OG639,Putative TrmH family tRNA/rRNA methyltransferase AND 23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,252
OG640,Glutamate synthase [NADPH] small chain,479
OG641,Glutamate synthase [NADPH] large chain,1489
OG642,Phosphoserine phosphatase,220
OG643,Alkaline phosphatase synthesis sensor protein PhoR,517
OG644,hypothetical protein,80
OG645,Erythronate-4-phosphate dehydrogenase,398
OG646,Membrane lipoprotein TmpC,351
OG647,Cytidine deaminase,140
OG648,Phosphoserine aminotransferase,365
OG649,Aryl-phospho-beta-D-glucosidase BglA,454
OG650,Dihydroorotase,441
OG651,Pyrimidine-nucleoside phosphorylase,430
OG652,Energy-dependent translational throttle protein EttA,635
OG653,hypothetical protein,200
OG654,"Fructose-1,6-bisphosphatase/inositol-1-monophosphatase",259
OG655,hypothetical protein,93
OG656,hypothetical protein,174
OG657,DNA mismatch repair protein MutL,695
OG658,Adaptive-response sensory-kinase SasA,441
OG659,hypothetical protein,171
OG660,Holliday junction resolvase RecU,213
OG661,Ribosomal RNA small subunit methyltransferase C,237
OG662,Exodeoxyribonuclease 7 small subunit,79
OG663,Penicillin-binding protein 1A,693
OG664,AB hydrolase superfamily protein YdjP,267
OG665,putative metallo-hydrolase,210
OG666,hypothetical protein,100
OG667,hypothetical protein,120
OG668,Peroxiredoxin OsmC,145
OG669,hypothetical protein,437
OG670,Adenosine deaminase,344
OG671,hypothetical protein,292
OG672,Tryptophan synthase alpha chain,253
OG673,ATP-dependent helicase/deoxyribonuclease subunit B,1099
OG674,hypothetical protein,241
OG675,Release factor glutamine methyltransferase,271
OG676,FMN reductase (NADPH),251
OG677,Methylated-DNA--protein-cysteine methyltransferase,169
OG678,Elongation factor 4,950
OG679,Mycothiol acetyltransferase,165
OG680,hypothetical protein,218
OG681,Beta-hexosaminidase,406
OG682,3-oxoacyl-[acyl-carrier-protein] synthase 3,325
OG683,Spore germination lipase LipC,279
OG684,Malonyl CoA-acyl carrier protein transacylase,308
OG685,DNA polymerase III subunit alpha AND Error-prone DNA polymerase,1070
OG686,hypothetical protein,175
OG687,Biotin carboxyl carrier protein of acetyl-CoA carboxylase,155
OG688,ATP-dependent helicase/nuclease subunit A,1203
OG689,hypothetical protein,248
OG690,Putative HMP/thiamine import ATP-binding protein YkoD,565
OG691,Indole-3-glycerol phosphate synthase,264
OG692,hypothetical protein,404
OG693,Cysteine synthase,306
OG694,Aminodeoxychorismate/anthranilate synthase component 2,198
OG695,Thiosulfate sulfurtransferase GlpE,100
OG696,hypothetical protein,115
OG697,hypothetical protein,84
OG698,Anthranilate synthase component 1,456
OG699,hypothetical protein,119
OG700,Putative NAD(P)H nitroreductase YodC AND malonic semialdehyde reductase RutE,356
OG701,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,247
OG702,Methionine--tRNA ligase,666
OG703,Transcriptional regulator SlyA,443
OG704,hypothetical protein,226
OG705,hypothetical protein,230
OG706,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",319
OG707,H(+)/Cl(-) exchange transporter ClcA,512
OG708,hypothetical protein,232
OG709,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,241
OG710,hypothetical protein,59
OG711,hypothetical protein,193
OG712,Salicylate biosynthesis isochorismate synthase AND Isochorismate synthase MenF,404
